session,subjid,agent,costCond,visibilityCond,resourceCond,counterbalance,ownBPsize,points,step_expense,step_other_expense,energy_expense,other_expense,helping_event,steps,helpful_steps,helped,partnerHelped,partnerHelpingEvents,partnerHelpfulSteps
OmgEQJhArEcn1g,OmgEQJhArEcn1gpurple,purple,high,full,even,5.0,4,1111,463.0,27.0,916.0,54.0,6,469,27,True,True,7,39
OmgEQJhArEcn1g,OmgEQJhArEcn1gred,red,high,full,even,5.0,4,1031,470.0,39.0,935.0,78.0,7,488,39,True,True,6,27
P1QGEaN1plCNcG,P1QGEaN1plCNcGpurple,purple,low,self,even,14.0,4,3165,494.0,37.0,494.0,37.0,8,395,37,True,True,15,81
P1QGEaN1plCNcG,P1QGEaN1plCNcGred,red,low,self,even,14.0,4,2720,584.0,81.0,584.0,81.0,15,541,81,True,True,8,37
PUc4EleMaTGBw1,PUc4EleMaTGBw1purple,purple,high,full,uneven,12.0,3,387,549.5,0.0,1084.0,0.0,0,640,0,False,True,1,9
PUc4EleMaTGBw1,PUc4EleMaTGBw1red,red,high,full,uneven,12.0,5,1111,475.5,9.0,936.0,18.0,1,487,9,True,False,0,0
Q3FSUc25MP9a9i,Q3FSUc25MP9a9ipurple,purple,high,full,uneven,4.0,5,1031,508.5,0.0,947.0,0.0,1,521,9,True,True,1,14
Q3FSUc25MP9a9i,Q3FSUc25MP9a9ired,red,high,full,uneven,4.0,3,318,574.0,0.0,1103.0,0.0,1,756,14,True,True,1,9
QDWga5kEF5PDb8,QDWga5kEF5PDb8purple,purple,low,self,even,12.0,4,2707,599.0,4.0,599.0,4.0,3,514,4,True,True,1,11
QDWga5kEF5PDb8,QDWga5kEF5PDb8red,red,low,self,even,12.0,4,2707,588.0,11.0,588.0,11.0,1,492,11,True,True,3,4
QaoRhZIMQgl3IQ,QaoRhZIMQgl3IQpurple,purple,high,full,uneven,4.0,5,1055,498.0,11.0,941.0,22.0,1,507,11,True,True,2,26
QaoRhZIMQgl3IQ,QaoRhZIMQgl3IQred,red,high,full,uneven,4.0,3,381,545.0,12.0,1085.0,24.0,2,663,26,True,True,1,11
R2Slnye8Cyp1Qc,R2Slnye8Cyp1Qcpurple,purple,low,self,even,4.0,4,3185,524.0,6.0,524.0,6.0,1,478,6,True,True,1,12
R2Slnye8Cyp1Qc,R2Slnye8Cyp1Qcred,red,low,self,even,4.0,4,3088,535.0,12.0,535.0,12.0,1,498,12,True,True,1,6
ROhhh8jD6nNnDB,ROhhh8jD6nNnDBpurple,purple,low,self,uneven,8.0,3,3219,513.0,62.0,513.0,62.0,13,448,62,True,True,23,64
ROhhh8jD6nNnDB,ROhhh8jD6nNnDBred,red,low,self,uneven,8.0,5,3386,475.0,64.0,475.0,64.0,23,452,64,True,True,13,62
RV6SiTvJDsGKG9,RV6SiTvJDsGKG9purple,purple,high,self,even,1.0,4,1126,475.0,0.0,920.0,0.0,0,503,0,False,True,2,15
RV6SiTvJDsGKG9,RV6SiTvJDsGKG9red,red,high,self,even,1.0,4,620,526.0,15.0,1042.0,30.0,2,550,15,True,False,0,0
RophlMz2pnT4Tj,RophlMz2pnT4Tjpurple,purple,high,self,even,15.0,4,1112,475.5,13.0,926.0,26.0,2,465,13,True,True,2,13
RophlMz2pnT4Tj,RophlMz2pnT4Tjred,red,high,self,even,15.0,4,830,511.0,13.0,997.0,26.0,2,495,13,True,True,2,13
SMBqTPtMeJmnqR,SMBqTPtMeJmnqRpurple,purple,high,full,even,11.0,4,817,505.5,0.0,981.0,0.0,0,506,0,False,False,0,0
SMBqTPtMeJmnqR,SMBqTPtMeJmnqRred,red,high,full,even,11.0,4,796,524.0,0.0,984.0,0.0,0,500,0,False,False,0,0
SjLhgef8nbj9y0,SjLhgef8nbj9y0purple,purple,high,full,uneven,7.0,5,1246,446.5,98.0,888.0,196.0,24,460,102,True,True,15,57
SjLhgef8nbj9y0,SjLhgef8nbj9y0red,red,high,full,uneven,7.0,3,1231,453.0,47.0,891.0,94.0,15,456,57,True,True,24,102
Sk5lsLH6JKqClz,Sk5lsLH6JKqClzpurple,purple,low,full,even,2.0,4,2806,588.0,16.0,588.0,16.0,2,528,16,True,True,2,18
Sk5lsLH6JKqClz,Sk5lsLH6JKqClzred,red,low,full,even,2.0,4,2849,582.0,18.0,582.0,18.0,2,517,18,True,True,2,16
TADTf6vSlFIWUj,TADTf6vSlFIWUjpurple,purple,low,full,even,11.0,4,3104,497.0,18.0,497.0,18.0,5,470,18,True,True,6,32
TADTf6vSlFIWUj,TADTf6vSlFIWUjred,red,low,full,even,11.0,4,2790,583.0,32.0,583.0,32.0,6,535,32,True,True,5,18
TivIAtz1sWuRop,TivIAtz1sWuRoppurple,purple,high,full,uneven,4.0,5,1056,507.0,0.0,942.0,0.0,1,479,9,True,False,0,0
TivIAtz1sWuRop,TivIAtz1sWuRopred,red,high,full,uneven,4.0,3,309,591.5,0.0,1101.0,0.0,0,633,0,False,True,1,9
TvRvNKnRPmhY4z,TvRvNKnRPmhY4zpurple,purple,low,full,even,14.0,4,2850,557.0,29.0,557.0,29.0,4,522,29,True,True,2,2
TvRvNKnRPmhY4z,TvRvNKnRPmhY4zred,red,low,full,even,14.0,4,3385,481.0,2.0,481.0,2.0,2,424,2,True,True,4,29
UKP62V6OXpmahx,UKP62V6OXpmahxpurple,purple,low,self,even,12.0,4,3211,484.0,78.0,484.0,78.0,17,448,78,True,True,18,106
UKP62V6OXpmahx,UKP62V6OXpmahxred,red,low,self,even,12.0,4,3119,519.0,106.0,519.0,106.0,18,477,106,True,True,17,78
