session,costCond,visibilityCond,resourceCond,counterbalance,purpleBackpackSize,redBackpackSize,purplePoints,redPoints,step_expense,step_other_expense,energy_expense,other_expense,helping_event,steps,helpful_steps,helped,purpleHelped,redHelped,purpleHelpingEvents,redHelpingEvents,purpleHelpfulSteps,redHelpfulSteps
mYSqMHv81XrAoj,low,self,uneven,9.0,5,3,3204,2402,1168.0,0.0,1168.0,0.0,0,1050,0,False,False,False,0,0,0,0
mYe0prfMFlX1nr,low,self,even,15.0,4,4,3520,3259,943.0,181.0,943.0,181.0,36,886,181,True,True,True,18,18,77,104
mpcGaIj4HGABbb,low,full,uneven,2.0,5,3,2958,2134,1246.0,13.0,1246.0,13.0,1,1130,13,True,True,False,1,0,13,0
mq25Ud0HilaEHM,high,self,even,13.0,4,4,1266,820,969.5,99.0,1889.0,198.0,21,1024,131,True,True,True,9,12,54,77
n2xdNpKXXLb5LE,low,self,even,15.0,4,4,3185,3100,1058.0,10.0,1058.0,10.0,1,955,10,True,False,True,0,1,0,10
nAgTrmO6PiN2Ig,high,full,even,12.0,4,4,1124,1247,902.5,167.0,1770.0,334.0,43,898,176,True,True,True,22,21,105,71
nBkV82AICknxGh,high,self,even,14.0,4,4,778,576,1043.0,17.0,2051.0,34.0,4,1274,17,True,True,False,4,0,17,0
nCNU1gIAwXwaNj,high,full,uneven,1.0,5,3,882,354,1086.0,76.0,2125.0,152.0,13,1135,107,True,True,True,9,4,77,30
nEXaxjOYd2uIz2,high,self,uneven,3.0,5,3,1147,1217,940.5,131.0,1797.0,262.0,32,881,146,True,True,True,23,9,107,39
nQomfdUS4NkcDW,high,self,even,0.0,4,4,1156,999,938.5,38.0,1852.0,76.0,8,988,38,True,True,True,4,4,23,15
nSG6vfzQRyWkT5,high,full,even,0.0,4,4,792,1026,1029.5,20.5,1954.0,41.0,3,1054,26,True,True,True,2,1,15,11
nmHvJd8QHSgYaN,low,full,even,12.0,4,4,3216,2991,1045.0,65.0,1045.0,65.0,11,960,65,True,True,True,5,6,30,35
nzq97Uem5iQt5i,low,self,uneven,10.0,3,5,2962,3118,1085.0,192.0,1085.0,192.0,43,955,192,True,True,True,18,25,79,113
o3TlRoAkJBHNVZ,low,full,even,8.0,4,4,3299,3336,993.0,81.0,993.0,81.0,16,916,81,True,True,True,8,8,41,40
oAvUXcfVXu9fNU,high,self,uneven,0.0,5,3,978,327,1068.0,26.0,2071.0,52.0,3,1137,26,True,True,True,2,1,20,6
oGOi0GITrDQ7sp,low,self,uneven,9.0,5,3,3068,2816,1097.0,115.0,1097.0,115.0,24,1021,113,True,True,True,15,9,78,35
ofrwBLQNLeNuCO,high,full,even,3.0,4,4,772,1056,977.5,12.0,1920.0,24.0,2,1060,24,True,True,False,2,0,24,0
onQVTbxWfNm9z8,low,full,even,13.0,4,4,2445,2770,1207.0,184.0,1207.0,184.0,33,1080,205,True,True,True,17,16,133,72
orGrN0W4PmMnXY,low,self,even,6.0,4,4,3018,3034,1090.0,0.0,1090.0,0.0,0,990,0,False,False,False,0,0,0,0
ouhiwVy9ZhPkYv,high,self,uneven,10.0,3,5,483,1158,1010.0,51.0,1990.0,102.0,13,1058,77,True,True,True,4,9,39,38
oxrSBdIPj7nQxL,low,self,uneven,1.0,5,3,2487,2543,1256.0,68.0,1256.0,68.0,12,1122,68,True,True,True,8,4,52,16
p0ycy1TOQ3bixU,low,self,uneven,2.0,5,3,3116,2200,1252.0,57.0,1252.0,57.0,7,1130,55,True,True,True,3,4,17,38
pAXCOtBVeqYqaC,low,self,even,13.0,4,4,2952,2992,1108.0,0.0,1108.0,0.0,0,1000,0,False,False,False,0,0,0,0
pDgPXGd2o6BWjG,high,full,even,4.0,4,4,516,0,1161.0,0.0,2262.0,0.0,2,1764,10,True,True,False,2,0,10,0
pE0Aw88UbECQ9z,high,self,even,14.0,4,4,816,906,1089.0,52.0,1996.0,104.0,12,1015,64,True,True,True,7,5,32,32
pea5cIpaG1ZtcM,low,full,uneven,11.0,3,5,2781,2977,1156.0,49.0,1156.0,49.0,9,1004,47,True,True,True,1,8,1,46
ppSOuFiRpn2cSd,low,self,even,5.0,4,4,2923,3190,1079.0,21.0,1079.0,21.0,5,944,21,True,True,True,1,4,1,20
pqzVgpvBxeWX95,low,full,uneven,6.0,5,3,2986,2706,1163.0,221.0,1163.0,221.0,43,1062,221,True,True,True,25,18,102,119
pvR1wKqG0UHssq,low,full,uneven,1.0,5,3,3101,2532,1163.0,0.0,1163.0,0.0,0,1050,0,False,False,False,0,0,0,0
pyDbTJHCtGh8uC,high,self,uneven,4.0,5,3,1296,1025,920.0,150.0,1820.0,300.0,41,948,176,True,True,True,26,15,118,58
pyKUaJdU3ZCju1,low,self,even,8.0,4,4,2600,2968,1217.0,45.0,1217.0,45.0,5,1078,45,True,True,True,2,3,18,27
q0pOdv5cgccRxJ,low,full,even,11.0,4,4,3076,3041,1087.0,77.0,1087.0,77.0,12,995,77,True,True,True,6,6,35,42
q2nEYNMGIouP5r,high,self,uneven,1.0,5,3,892,1300,971.0,99.5,1844.0,199.0,29,942,126,True,True,True,22,7,94,32
q5g3GVcSYIYu5U,high,full,uneven,9.0,3,5,360,1102,1034.5,0.0,2014.0,0.0,0,1100,0,False,False,False,0,0,0,0
qD1pHXj549qdDJ,low,full,even,12.0,4,4,3484,3238,976.0,96.0,976.0,96.0,21,882,96,True,True,True,10,11,44,52
qR0OZtlpBD00E3,low,self,even,9.0,4,4,2732,2786,1172.0,0.0,1172.0,0.0,0,1060,0,False,False,False,0,0,0,0
qVtPGcYV5NIaKf,high,full,even,8.0,4,4,974,866,989.5,263.0,1959.0,526.0,45,1065,285,True,True,True,22,23,142,143
qVyVTWrfztcGar,low,full,even,2.0,4,4,2911,3171,1084.0,22.0,1084.0,22.0,2,980,22,True,True,False,2,0,22,0
qiIV46Hcubx7xG,high,full,even,2.0,4,4,1229,892,961.0,122.0,1872.0,244.0,21,1013,122,True,True,True,11,10,52,70
r1qjmWOCCencgM,low,self,even,1.0,4,4,3058,3143,1066.0,2.0,1066.0,2.0,2,954,2,True,True,True,1,1,1,1
r2kR0qQjC9HaEY,high,full,uneven,6.0,5,3,1300,719,973.5,41.0,1892.0,82.0,15,998,57,True,True,True,11,4,34,23
r4JuAS09h5xvjV,low,full,even,11.0,4,4,2744,2611,1227.0,78.0,1227.0,78.0,11,995,91,True,True,True,5,6,35,56
rAKY1xCChRHk9m,low,self,even,0.0,4,4,3371,3461,946.0,197.0,946.0,197.0,40,869,198,True,True,True,20,20,116,82
rBgdvsFqpyEZPO,low,full,even,15.0,4,4,2629,3093,1183.0,206.0,1183.0,206.0,35,960,204,True,True,True,19,16,109,95
rDb40M6BMO5XCV,high,self,even,15.0,4,4,788,796,1015.5,0.0,1971.0,0.0,0,982,0,False,False,False,0,0,0,0
rSpQvN7kie1Dog,high,self,uneven,10.0,3,5,549,1278,974.0,1.0,1928.0,2.0,1,1001,1,True,False,True,0,1,0,1
rT6JXOibGDFePd,high,self,even,5.0,4,4,1119,1020,972.0,83.0,1888.0,166.0,16,996,107,True,True,True,9,7,57,50
rfDaU15KPmQAWa,high,full,even,7.0,4,4,888,1222,968.0,67.0,1881.0,134.0,14,972,68,True,True,True,7,7,41,27
rfy8O7jpwX6MUx,low,self,uneven,14.0,3,5,2627,3338,1104.0,35.0,1104.0,35.0,7,1004,35,True,True,True,1,6,8,27
rh6PzaUldpAADM,low,self,even,8.0,4,4,3013,3273,1054.0,42.0,1054.0,42.0,6,963,42,True,True,True,4,2,35,7
rkc6hRyVkFgFu2,high,self,uneven,3.0,3,5,876,1238,957.5,250.5,1870.0,501.0,67,954,263,True,True,True,30,37,144,119
ruLinVapIyFBrU,low,self,even,9.0,4,4,3028,2914,1067.0,83.0,1067.0,83.0,15,1003,83,True,True,True,8,7,30,53
rvwiE1fqBe9AM9,high,full,uneven,5.0,5,3,1161,500,1006.0,2.0,1962.0,4.0,2,996,2,True,True,False,2,0,2,0
ryO9MvOSq3ZQUt,low,full,uneven,3.0,3,5,2697,3042,1160.0,56.0,1160.0,56.0,10,1015,56,True,True,True,3,7,20,36
s1AGWI2BmMFuFj,high,full,even,11.0,4,4,720,925,1007.0,21.0,1970.0,42.0,3,982,21,True,True,True,2,1,7,14
s1l3iQC1AEnUJ5,low,self,even,8.0,4,4,3148,3240,1043.0,12.0,1043.0,12.0,1,941,12,True,True,False,1,0,12,0
sHlPosOc3ofSEM,high,full,uneven,12.0,3,5,791,1247,958.0,61.0,1876.0,122.0,18,942,61,True,True,True,7,11,26,35
sQEPerAS4yJ951,low,full,even,8.0,4,4,2954,3209,1079.0,0.0,1079.0,0.0,0,954,0,False,False,False,0,0,0,0
sSDj42w2GOzQgp,high,full,uneven,10.0,3,5,624,884,1094.5,39.0,2033.0,78.0,8,1027,41,True,True,True,1,7,7,34
sUySWjJjb9YD4I,high,full,even,15.0,4,4,1004,1248,964.5,60.0,1858.0,120.0,16,1008,79,True,True,True,11,5,48,31
saQjVVcdrtHlWc,high,full,even,10.0,4,4,964,1056,961.5,184.5,1881.0,369.0,38,955,190,True,True,True,19,19,87,103
sdNusyrc7WKwEn,low,self,uneven,14.0,3,5,2663,2679,1205.0,151.0,1205.0,151.0,22,1067,151,True,True,True,6,16,37,114
smzTCpjQjzO75w,high,self,even,13.0,4,4,1352,1328,881.0,90.0,1752.0,180.0,21,960,92,True,True,True,10,11,47,45
t6L8f69NEHDL7V,low,self,uneven,8.0,3,5,2900,2877,1134.0,61.0,1134.0,61.0,11,1005,61,True,False,True,0,11,0,61
tPOTp95eOzplmR,low,full,even,6.0,4,4,2909,2979,1126.0,0.0,1126.0,0.0,0,992,0,False,False,False,0,0,0,0
tQtlXcPITugmWr,high,self,even,9.0,4,4,1332,1248,882.0,127.0,1764.0,254.0,30,879,128,True,True,True,15,15,57,71
tTzWVUafBlblR7,low,full,even,0.0,4,4,3239,3143,1032.0,33.0,1032.0,33.0,3,951,33,True,True,True,2,1,22,11
taclqy4j1clbux,low,full,uneven,5.0,5,3,2895,2568,1189.0,96.0,1189.0,96.0,19,1049,96,True,True,True,11,8,45,51
tgXnJilmKnniRs,low,full,uneven,0.0,5,3,3151,2480,1167.0,0.0,1167.0,0.0,0,1028,0,False,False,False,0,0,0,0
tifOihlQXXepB0,high,self,uneven,8.0,3,5,991,1200,955.0,135.0,1856.0,270.0,36,919,149,True,True,True,11,25,50,99
tjLeadeIXDhNcj,high,full,uneven,7.0,5,3,1159,302,1045.0,0.0,2020.0,0.0,0,1072,0,False,False,False,0,0,0,0
tk9UcqRWbZZjmb,low,full,even,6.0,4,4,3288,2989,1072.0,142.0,1072.0,142.0,28,955,140,True,True,True,15,13,68,72
tmdsDcY2zwomgI,low,full,uneven,8.0,3,5,2741,3100,1138.0,56.0,1138.0,56.0,12,1037,56,True,True,True,4,8,30,26
uHoTS2ROOLIs5h,high,full,even,3.0,4,4,1049,627,1013.5,41.0,1972.0,82.0,12,1002,53,True,True,True,7,5,13,40
uJKusy6bZo6nxr,low,full,uneven,5.0,5,3,1951,2521,1362.0,282.0,1362.0,282.0,38,1251,282,True,True,True,23,15,187,95
uaeO7LcVVuS0Z1,low,full,even,11.0,4,4,3435,3425,936.0,199.0,936.0,199.0,45,866,199,True,True,True,22,23,93,106
ucChqUN1ymnylP,low,full,even,13.0,4,4,3020,3004,1091.0,0.0,1091.0,0.0,0,985,0,False,False,False,0,0,0,0
uccX8B5f0br2b8,high,self,uneven,12.0,5,3,1036,789,1041.0,109.0,1932.0,218.0,31,1042,190,True,True,True,22,9,121,69
upoCxWMKNpMgbu,low,full,uneven,14.0,3,5,3377,3316,972.0,86.0,972.0,86.0,20,898,86,True,True,True,4,16,18,68
upttvg6ik5LipZ,high,self,even,15.0,4,4,752,1063,995.0,37.0,1955.0,74.0,5,1032,37,True,True,True,3,2,26,11
utdwJjYg9S6Dx6,high,self,uneven,7.0,5,3,1016,502,1044.5,199.0,2014.0,398.0,44,1073,216,True,True,True,22,22,115,101
uxvgRgnJ8BWntF,low,self,even,7.0,4,4,3307,3512,961.0,218.0,961.0,218.0,43,877,218,True,True,True,22,21,117,101
uyqSL1z3jMSVFD,high,full,even,5.0,4,4,1446,1134,934.0,162.5,1778.0,325.0,29,934,170,True,True,True,14,15,75,95
v5OJSphEm99Qwp,low,self,even,5.0,4,4,3081,3002,1097.0,9.0,1097.0,9.0,1,989,9,True,False,True,0,1,0,9
vA7UGvybSQysyD,high,self,uneven,3.0,5,3,1140,863,982.0,133.0,1894.0,266.0,27,1026,153,True,True,True,16,11,80,73
vCkogSq5b7No2T,high,full,uneven,12.0,3,5,838,1192,972.0,70.0,1902.0,140.0,11,1036,77,True,True,True,2,9,18,59
vHU7il4KtMWABV,high,full,uneven,12.0,3,5,366,1218,1012.5,1.0,1990.0,2.0,1,1048,1,True,False,True,0,1,0,1
vKUyXkeEF3b2fD,low,full,uneven,6.0,5,3,3162,2803,1089.0,108.0,1089.0,108.0,22,1036,108,True,True,True,13,9,61,47
vNWAxTycdY5RKG,high,full,even,14.0,4,4,871,803,1000.5,0.0,1946.0,0.0,0,991,0,False,False,False,0,0,0,0
vVKVGZeK8EuqGx,low,full,even,14.0,4,4,3035,2847,1133.0,17.0,1133.0,17.0,4,965,17,True,True,True,2,2,2,15
vpsp4L77u6fJdo,high,self,even,9.0,4,4,1262,952,969.5,75.0,1855.0,150.0,17,926,107,True,True,True,5,12,27,80
vqrBAUHbGaXO53,low,full,uneven,10.0,5,3,3218,2570,1142.0,0.0,1142.0,0.0,0,1024,0,False,False,False,0,0,0,0
vtHWGpc72DWM7U,low,self,uneven,8.0,3,5,2513,3058,1142.0,46.0,1142.0,46.0,8,1070,46,True,True,True,3,5,16,30
vxEsTrKUTqQqos,low,full,uneven,5.0,5,3,3316,2375,1163.0,0.0,1163.0,0.0,0,1043,0,False,False,False,0,0,0,0
w2ixw51E2kOOXp,low,self,even,6.0,4,4,3207,3281,1012.0,24.0,1012.0,24.0,5,924,24,True,True,True,2,3,11,13
w3KYmUFUbws8ib,high,self,even,1.0,4,4,772,971,1043.5,86.0,1976.0,172.0,16,1029,99,True,True,True,12,4,71,28
wICtidB7fjEuEu,high,self,even,0.0,4,4,1058,1104,962.0,201.5,1869.0,403.0,45,1010,245,True,True,True,22,23,130,115
wIZhL16JvntpuX,high,full,even,15.0,4,4,794,1019,1058.0,31.5,1966.0,63.0,6,979,38,True,True,True,5,1,30,8
wf5vpjzpWcOZVE,low,full,uneven,9.0,3,5,2067,2744,1277.0,0.0,1277.0,0.0,0,1095,0,False,False,False,0,0,0,0
woxKliqKtIfd83,low,self,uneven,12.0,5,3,2728,2488,1216.0,85.0,1216.0,85.0,20,1121,98,True,True,True,13,7,60,38
wpOAdIHJFpYb3t,low,full,even,15.0,4,4,2387,2339,1287.0,179.0,1287.0,179.0,29,1093,195,True,True,True,17,12,107,88
wsb7znJ8Quf08G,high,self,uneven,8.0,3,5,824,1025,997.0,47.5,1954.0,95.0,15,991,56,True,True,True,4,11,11,45
wz62ca4FtipVoE,low,full,uneven,9.0,3,5,1877,2660,1360.0,25.0,1360.0,25.0,6,1220,44,True,False,True,0,6,0,44
x2HPhDBJve42yD,high,full,even,2.0,4,4,810,999,966.5,25.0,1903.0,50.0,7,999,33,True,True,True,4,3,18,15
x3V05lvKjT0dBU,high,self,even,4.0,4,4,1142,952,953.5,19.0,1872.0,38.0,2,964,19,True,True,True,1,1,9,10
xGio19veqpXLXC,high,self,uneven,14.0,5,3,1254,432,986.0,0.0,1962.0,0.0,0,1080,0,False,False,False,0,0,0,0
xiDn9bfGiXWDVe,low,self,even,5.0,4,4,3104,3187,1065.0,18.0,1065.0,18.0,2,950,18,True,True,False,2,0,18,0
xnwLLRIfDeY55A,high,self,uneven,12.0,3,5,952,894,1030.5,46.5,1944.0,93.0,11,1059,61,True,True,True,2,9,14,47
xoeqSDpQqXmeI7,high,self,even,5.0,4,4,1028,794,1002.5,13.0,1925.0,26.0,4,989,25,True,True,True,3,1,12,13
xpwasKCgvCyvFR,high,full,even,11.0,4,4,1255,856,966.0,182.0,1867.0,364.0,40,924,181,True,True,True,20,20,86,95
xwJARLAabTZKjr,low,self,even,14.0,4,4,2829,3000,1140.0,1.0,1140.0,1.0,1,1018,1,True,True,False,1,0,1,0
xyB4sEvHF0TDqX,high,self,uneven,8.0,3,5,370,1250,1025.5,10.0,1981.0,20.0,5,1072,24,True,True,True,2,3,21,3
y3b4UJinRpphER,low,self,uneven,10.0,3,5,2850,3151,1103.0,92.0,1103.0,92.0,26,987,92,True,True,True,10,16,39,53
yExSMPVAyBy9Yi,high,full,uneven,4.0,5,3,1248,478,1009.5,1.0,1954.0,2.0,2,1037,15,True,True,False,2,0,15,0
yGXf0uEtaQzN97,low,self,uneven,3.0,5,3,2968,2430,1183.0,14.0,1183.0,14.0,1,1064,14,True,True,False,1,0,14,0
yJ1WHQ0RMpmLPq,high,full,uneven,9.0,3,5,397,1223,1000.0,11.0,1980.0,22.0,1,1083,11,True,False,True,0,1,0,11
yM7Mq6iCXeB9Sv,low,full,uneven,5.0,5,3,3081,2171,1228.0,0.0,1228.0,0.0,0,1090,0,False,False,False,0,0,0,0
yNaS2Bq6dttKqL,low,full,uneven,11.0,3,5,2328,3071,1160.0,22.0,1160.0,22.0,3,1071,22,True,False,True,0,3,0,22
yOIPc2hq9cwTcp,low,full,even,4.0,4,4,3012,2650,1154.0,0.0,1154.0,0.0,0,1020,0,False,False,False,0,0,0,0
yOY40J4qWxVxA1,low,self,even,11.0,4,4,3006,2945,1098.0,0.0,1098.0,0.0,0,996,0,False,False,False,0,0,0,0
yPQzz9iPJVUCQm,high,full,uneven,12.0,3,5,151,1150,1106.5,13.0,2075.0,26.0,9,1128,57,True,True,True,3,6,13,44
yoZ6vpODYaJIyo,low,full,uneven,11.0,5,3,3167,2574,1124.0,22.0,1124.0,22.0,5,1005,22,True,True,True,4,1,15,7
yvS8lPfYPkwZyu,low,full,even,2.0,4,4,3132,2881,1107.0,17.0,1107.0,17.0,2,1002,17,True,True,True,1,1,9,8
z0O7HwJVCNFeQW,low,full,uneven,8.0,3,5,1997,3246,1224.0,0.0,1224.0,0.0,0,1086,0,False,False,False,0,0,0,0
z0X3T2CyienXi6,high,full,uneven,0.0,5,3,1247,752,993.5,14.0,1899.0,28.0,8,1044,32,True,True,False,8,0,32,0
z9iAhAIiy9Iuee,high,self,uneven,13.0,3,5,851,1184,970.0,135.0,1893.0,270.0,39,933,136,True,True,True,16,23,62,74
zEsErbuvrMr0Hg,low,self,uneven,6.0,5,3,3263,2646,1092.0,121.0,1092.0,121.0,30,987,119,True,True,True,18,12,70,49
zJ3HGb5JBocd03,high,self,uneven,13.0,3,5,580,1389,976.0,137.0,1909.0,274.0,39,951,160,True,True,True,19,20,88,72
zNOjNV4uWPQlRp,low,self,even,6.0,4,4,3548,3411,933.0,115.0,933.0,115.0,24,859,115,True,True,True,12,12,62,53
zRDK2ekdFueGoR,low,self,uneven,4.0,5,3,2735,2779,1147.0,243.0,1147.0,243.0,51,1006,241,True,True,True,31,20,142,99
zRNUjyaiWBgEP0,high,self,uneven,3.0,3,5,1181,1112,921.0,166.0,1827.0,332.0,39,985,192,True,True,True,14,25,62,130
