session,costCond,visibilityCond,resourceCond,counterbalance,purpleBackpackSize,redBackpackSize,purplePoints,redPoints,step_expense,step_other_expense,energy_expense,other_expense,helping_event,steps,helpful_steps,helped,purpleHelped,redHelped,purpleHelpingEvents,redHelpingEvents,purpleHelpfulSteps,redHelpfulSteps
DnYnqep04VmuqX,high,full,uneven,10.0,3,5,669,1102,996.5,96.5,1963.0,193.0,23,1064,103,True,True,True,9,14,57,46
E7ZN4PY4zC1bwd,low,self,uneven,6.0,5,3,2707,2200,1280.0,59.0,1280.0,59.0,8,1085,59,True,True,True,6,2,42,17
FfdgbZ2FZY2c8P,high,full,even,1.0,4,4,896,879,981.5,48.0,1923.0,96.0,10,956,48,True,True,True,5,5,24,24
G9PSkay14LWhVo,low,full,even,12.0,4,4,3478,3024,974.0,170.0,974.0,170.0,36,910,169,True,True,True,18,18,75,94
GIpt06E7scyQAs,low,full,uneven,0.0,5,3,3523,3242,954.0,152.0,954.0,152.0,38,878,152,True,True,True,23,15,87,65
GaoxGQc1Xmby2b,high,full,uneven,1.0,3,5,1325,1054,940.0,77.0,1819.0,154.0,19,922,84,True,True,True,2,17,6,78
GulhkpA1gdCtoQ,low,full,even,9.0,4,4,2956,2550,1182.0,0.0,1182.0,0.0,0,1010,0,False,False,False,0,0,0,0
Guo72GsAyCT2Pp,low,full,even,2.0,4,4,3249,3164,1041.0,28.0,1041.0,28.0,5,951,28,True,True,True,2,3,8,20
HJiQI8l8ixj7ZQ,low,full,even,2.0,4,4,2970,2910,1148.0,20.0,1148.0,20.0,2,1003,18,True,True,True,1,1,11,7
J6HDr7j8Eerd86,high,self,even,6.0,4,4,770,1347,957.5,166.0,1879.0,332.0,35,988,184,True,True,True,20,15,114,70
JTrMDviJOqSWLm,low,self,uneven,10.0,5,3,2611,2307,1321.0,18.0,1321.0,18.0,3,1120,18,True,True,True,2,1,12,6
JZ7WmKj6jM1mPr,high,self,uneven,6.0,5,3,953,298,1048.0,41.5,2076.0,83.0,5,1134,46,True,True,True,2,3,22,24
L2xJ1iWAIp1Lc5,high,full,even,10.0,4,4,778,683,1012.0,0.0,1999.0,0.0,0,1025,0,False,False,False,0,0,0,0
L4j2g1iErZ4AOn,low,self,uneven,8.0,3,5,3065,3191,1060.0,117.0,1060.0,117.0,27,970,117,True,True,True,9,18,38,79
L8ega4xIVuXXw0,high,full,even,14.0,4,4,1134,1064,952.5,38.0,1848.0,76.0,9,997,44,True,True,True,5,4,19,25
LAQLsLbGhKb4RP,high,self,even,1.0,4,4,799,880,998.5,19.0,1947.0,38.0,6,954,26,True,True,True,3,3,7,19
LEfPEyA1vi7QKF,low,self,even,8.0,4,4,3459,3257,970.0,72.0,970.0,72.0,12,908,72,True,True,True,6,6,31,41
LLlh0LYAxsUnae,low,self,even,5.0,4,4,3188,3120,1047.0,113.0,1047.0,113.0,20,958,113,True,True,True,10,10,55,58
LXqE9AMI4dF71I,high,self,even,13.0,4,4,940,600,1050.5,8.0,1997.0,16.0,1,1028,8,True,False,True,0,1,0,8
LzSp6319Cfrr4o,high,self,uneven,12.0,3,5,1061,1064,969.0,105.0,1880.0,210.0,22,1020,124,True,True,True,3,19,21,103
M8dSL0S7sLftMi,high,full,even,14.0,4,4,1118,1202,944.5,60.0,1845.0,120.0,8,1006,60,True,True,True,3,5,30,30
MnUx0OULOzy46v,high,self,even,11.0,4,4,697,792,1082.5,47.0,2006.0,94.0,5,1064,51,True,True,True,3,2,35,16
MsW5djQKZ3G3b8,low,self,even,15.0,4,4,2959,3118,1096.0,0.0,1096.0,0.0,0,976,0,False,False,False,0,0,0,0
MuoarHWH8NJvH4,low,full,even,3.0,4,4,3281,2982,1043.0,31.0,1043.0,31.0,5,934,31,True,True,True,2,3,9,22
N8ksNmv6G4q0om,low,self,even,0.0,4,4,2888,3058,1100.0,0.0,1100.0,0.0,0,992,0,False,False,False,0,0,0,0
NDCsX0J5xy0hPl,low,self,even,2.0,4,4,3160,3241,1031.0,54.0,1031.0,54.0,9,946,54,True,True,True,5,4,29,25
OBuLvcr2bLTJ9X,high,self,uneven,3.0,5,3,1203,772,982.0,49.0,1909.0,98.0,11,1057,49,True,True,True,8,3,35,14
ODyDBwJIrDmnma,high,self,uneven,12.0,3,5,471,748,1141.0,52.0,2094.0,104.0,8,1193,57,True,True,True,2,6,23,34
OGnbKD3L1ui9Xx,low,self,even,11.0,4,4,3277,3337,995.0,77.0,995.0,77.0,15,906,77,True,True,True,7,8,38,39
OmOv7snAvQ1k6l,high,full,uneven,12.0,3,5,396,1283,992.0,1.0,1964.0,2.0,1,1042,1,True,True,False,1,0,1,0
OmgEQJhArEcn1g,high,full,even,5.0,4,4,1111,1031,933.0,66.0,1851.0,132.0,13,957,66,True,True,True,6,7,27,39
P1QGEaN1plCNcG,low,self,even,14.0,4,4,3165,2720,1078.0,118.0,1078.0,118.0,23,936,118,True,True,True,8,15,37,81
PUc4EleMaTGBw1,high,full,uneven,12.0,3,5,387,1111,1025.0,9.0,2020.0,18.0,1,1127,9,True,False,True,0,1,0,9
Q3FSUc25MP9a9i,high,full,uneven,4.0,5,3,1031,318,1082.5,0.0,2050.0,0.0,2,1277,23,True,True,True,1,1,9,14
QDWga5kEF5PDb8,low,self,even,12.0,4,4,2707,2707,1187.0,15.0,1187.0,15.0,4,1006,15,True,True,True,3,1,4,11
QaoRhZIMQgl3IQ,high,full,uneven,4.0,5,3,1055,381,1043.0,23.0,2026.0,46.0,3,1170,37,True,True,True,1,2,11,26
R2Slnye8Cyp1Qc,low,self,even,4.0,4,4,3185,3088,1059.0,18.0,1059.0,18.0,2,976,18,True,True,True,1,1,6,12
ROhhh8jD6nNnDB,low,self,uneven,8.0,3,5,3219,3386,988.0,126.0,988.0,126.0,36,900,126,True,True,True,13,23,62,64
RV6SiTvJDsGKG9,high,self,even,1.0,4,4,1126,620,1001.0,15.0,1962.0,30.0,2,1053,15,True,False,True,0,2,0,15
RophlMz2pnT4Tj,high,self,even,15.0,4,4,1112,830,986.5,26.0,1923.0,52.0,4,960,26,True,True,True,2,2,13,13
SMBqTPtMeJmnqR,high,full,even,11.0,4,4,817,796,1029.5,0.0,1965.0,0.0,0,1006,0,False,False,False,0,0,0,0
SjLhgef8nbj9y0,high,full,uneven,7.0,5,3,1246,1231,899.5,145.0,1779.0,290.0,39,916,159,True,True,True,24,15,102,57
Sk5lsLH6JKqClz,low,full,even,2.0,4,4,2806,2849,1170.0,34.0,1170.0,34.0,4,1045,34,True,True,True,2,2,16,18
TADTf6vSlFIWUj,low,full,even,11.0,4,4,3104,2790,1080.0,50.0,1080.0,50.0,11,1005,50,True,True,True,5,6,18,32
TivIAtz1sWuRop,high,full,uneven,4.0,5,3,1056,309,1098.5,0.0,2043.0,0.0,1,1112,9,True,True,False,1,0,9,0
TvRvNKnRPmhY4z,low,full,even,14.0,4,4,2850,3385,1038.0,31.0,1038.0,31.0,6,946,31,True,True,True,4,2,29,2
UKP62V6OXpmahx,low,self,even,12.0,4,4,3211,3119,1003.0,184.0,1003.0,184.0,35,925,184,True,True,True,17,18,78,106
UNqFOhcB79Jntp,low,full,even,5.0,4,4,3377,3267,980.0,169.0,980.0,169.0,34,904,171,True,True,True,17,17,84,87
US5bIYNPktMeE8,low,self,even,3.0,4,4,3191,2861,1082.0,20.0,1082.0,20.0,2,998,20,True,False,True,0,2,0,20
Ujdl2K6GeflUWs,high,full,uneven,2.0,5,3,580,1115,1052.0,67.0,1984.0,134.0,18,1099,89,True,True,True,16,2,77,12
UnhhiQvINPhklV,low,full,uneven,6.0,5,3,2741,2181,1279.0,0.0,1279.0,0.0,0,1103,0,False,False,False,0,0,0,0
Uyet9JuJtlLzZb,low,self,even,6.0,4,4,3070,3174,1054.0,35.0,1054.0,35.0,9,955,35,True,True,True,4,5,17,18
V1ZNTsuOwNNanU,high,full,uneven,1.0,5,3,930,487,1046.0,10.0,2021.0,20.0,3,1066,11,True,True,True,2,1,3,8
VNfL7CS9kqaA96,high,self,even,10.0,4,4,1176,990,944.5,32.0,1859.0,64.0,4,974,45,True,True,True,2,2,23,22
VVQ14G1K25VOFw,low,self,uneven,9.0,3,5,2515,3050,1178.0,11.0,1178.0,11.0,1,1071,9,True,False,True,0,1,0,9
VdA2R2IUgWwoE0,high,full,uneven,11.0,3,5,808,828,1096.5,50.0,1991.0,100.0,11,1047,68,True,True,True,3,8,9,59
WDQco1ZEzMk9t4,high,self,uneven,5.0,5,3,1230,1016,944.0,122.0,1838.0,244.0,36,914,126,True,True,True,23,13,75,51
WS4jHMiQ5Wvznv,low,self,even,14.0,4,4,2917,2879,1132.0,18.0,1132.0,18.0,2,1045,18,True,False,True,0,2,0,18
Wc6dBMYJqBoTgM,high,self,even,3.0,4,4,1315,1138,923.0,148.0,1773.0,296.0,37,903,172,True,True,True,18,19,87,85
WfKAXB16bRWIhN,high,full,uneven,9.0,3,5,365,1238,1005.0,0.0,1983.0,0.0,0,1088,0,False,False,False,0,0,0,0
Ws3gYpmT60Husl,low,full,even,10.0,4,4,3166,3184,1034.0,24.0,1034.0,24.0,4,944,24,True,True,True,2,2,13,11
WtknHVwSndxWVi,high,full,uneven,0.0,5,3,1156,421,1033.0,24.0,2006.0,48.0,6,1095,34,True,True,True,4,2,24,10
WxnxzmERexQ5bW,high,full,uneven,1.0,5,3,1104,1321,896.0,308.0,1787.0,616.0,65,910,313,True,True,True,38,27,166,147
X0iPMkJ7Liehhg,high,full,uneven,0.0,5,3,1186,607,1009.0,198.0,1954.0,396.0,45,997,202,True,True,True,25,20,106,96
X5wp8pn3jjnYZN,low,full,uneven,10.0,3,5,2395,2911,1219.0,37.0,1219.0,37.0,6,1101,37,True,True,True,1,5,9,28
X8DGej05HelKX5,low,self,uneven,3.0,5,3,3005,2009,1302.0,37.0,1302.0,37.0,5,1173,37,True,True,True,3,2,20,17
XMuf3RR57NU3m5,low,full,even,0.0,4,4,2827,2891,1146.0,17.0,1146.0,17.0,2,1006,17,True,True,True,1,1,6,11
XN0GbPB6FoPUiK,low,full,even,0.0,4,4,2939,2761,1123.0,259.0,1123.0,259.0,48,989,259,True,True,True,23,25,119,140
XPEC7FMBuuCPir,low,self,even,8.0,4,4,2969,3184,1079.0,6.0,1079.0,6.0,1,974,6,True,True,False,1,0,6,0
XckY2QM5ENLITA,high,self,even,4.0,4,4,675,816,1022.5,6.0,1980.0,12.0,1,1056,6,True,True,False,1,0,6,0
Y5Ee8GJWeqjlXt,high,self,even,9.0,4,4,935,898,965.0,11.0,1905.0,22.0,3,996,11,True,True,True,1,2,1,10
YBWIqz1EycDN60,high,full,even,7.0,4,4,1092,799,986.0,24.0,1947.0,48.0,3,1062,24,True,True,True,1,2,9,15
YTLpZxpJ8wFKYn,high,self,even,3.0,4,4,807,1075,998.5,40.0,1937.0,80.0,7,1023,42,True,True,True,2,5,17,25
YWQLeBYIyGGU9K,low,self,even,2.0,4,4,3131,2158,1221.0,29.0,1221.0,29.0,3,1102,29,True,True,True,1,2,8,21
YlscJqG1VAqfiK,low,self,even,4.0,4,4,2514,3181,1150.0,12.0,1150.0,12.0,3,1015,12,True,True,True,1,2,7,5
YxsTXkl8CaN1X6,high,full,uneven,12.0,3,5,365,1224,1012.0,0.0,1989.0,0.0,0,1048,0,False,False,False,0,0,0,0
Z1MmUYkU8HcnwY,low,self,uneven,3.0,5,3,3125,2548,1148.0,88.0,1148.0,88.0,17,1034,88,True,True,True,11,6,53,35
Z7SpYO22HIBbPM,low,self,uneven,5.0,3,5,2289,2636,1286.0,0.0,1286.0,0.0,0,1169,0,False,False,False,0,0,0,0
ZCt3dSGHyf9oWx,high,self,uneven,7.0,3,5,584,839,1069.0,72.5,2038.0,145.0,23,1063,134,True,True,True,7,16,33,101
ZCyWpcTWCd7jgp,low,self,even,8.0,4,4,3262,3372,982.0,102.0,982.0,102.0,22,915,102,True,True,True,11,11,51,51
ZXML2nj8JylBEL,high,full,even,13.0,4,4,1006,1228,926.0,130.0,1842.0,260.0,21,945,130,True,True,True,11,10,81,49
ZXaM33h4ObwfWo,high,self,uneven,9.0,3,5,709,1211,986.0,93.0,1912.0,186.0,19,1079,105,True,True,True,9,10,53,52
ZYj0ZWjZBPKjxg,low,self,uneven,7.0,5,3,3243,3138,1032.0,110.0,1032.0,110.0,24,959,110,True,True,True,15,9,63,47
ZhYqU9gVYgKHJl,low,full,uneven,11.0,3,5,2148,3168,1182.0,39.0,1182.0,39.0,7,1080,39,True,True,True,3,4,13,26
Zisun9RYqiYFiK,high,full,even,15.0,4,4,1071,974,956.0,79.0,1897.0,158.0,16,974,93,True,True,True,7,9,27,66
a4t2VPZA11vQid,high,full,even,11.0,4,4,823,823,1007.0,0.0,1954.0,0.0,0,987,0,False,False,False,0,0,0,0
aLZ9I3JA6PvPXG,high,full,uneven,2.0,5,3,854,876,1052.0,155.0,1972.0,310.0,33,1016,162,True,True,True,19,14,79,83
aV3wUjPXaxYIFk,low,full,uneven,2.0,3,5,2354,3170,1140.0,197.0,1140.0,197.0,48,989,208,True,True,True,23,25,114,94
aZNoBH3CKa8Id0,low,self,even,11.0,4,4,3016,3276,1022.0,115.0,1022.0,115.0,21,940,115,True,True,True,10,11,49,66
b1R4Q8GF2ktTCZ,low,full,uneven,4.0,5,3,3386,3258,976.0,214.0,976.0,214.0,49,883,214,True,True,True,29,20,122,92
bL56aPv7CiRj88,high,self,uneven,0.0,5,3,1263,528,975.0,1.0,1935.0,2.0,1,1027,1,True,True,False,1,0,1,0
