session,gameNum,turnCount,objectLayer,costCond,visibilityCond,resourceCond,redFirst,counterbalance,purpleBackpackSize,purpleEnergy,purpleScore,purplePoints,purplePointsCumulative,redBackpackSize,redEnergy,redScore,redPoints,redPointsCumulative,step_expense,step_other_expense,energy_expense,other_expense,helping_event,steps,helpful_steps,helped,purpleHelped,redHelped,purpleHelpingEvents,redHelpingEvents,purpleHelpfulSteps,redHelpfulSteps,environment,nRedVeg,nPurpVeg,patchUniformity,nPatches,patchSize
4zprMdo2BmCToc,8,18,Items11,low,full,uneven,False,9.0,3,30,7,210,2170,5,43,7,301,2507,120.0,40.0,120.0,40.0,8,115,40,True,True,True,4,4,19,21,12,7,7,False,5,"3,2,2,2,2,3"
4zprMdo2BmCToc,9,19,Items10,low,full,uneven,True,9.0,3,14,7,98,2247,5,51,7,357,2864,135.0,34.0,135.0,34.0,10,121,34,True,True,True,5,5,19,15,11,7,7,True,5,"3,2,2,2,2,3"
4zprMdo2BmCToc,10,10,Items08,low,full,uneven,True,9.0,3,73,5,365,2591,5,74,3,222,3086,53.0,30.0,53.0,30.0,8,50,30,True,True,True,3,5,13,17,9,3,5,True,2,"5,3"
4zprMdo2BmCToc,11,11,Items00,low,full,uneven,True,9.0,3,52,4,208,2799,5,71,4,284,3361,77.0,0.0,77.0,0.0,0,71,0,False,False,False,0,0,0,0,1,4,4,True,2,"4,4"
69qumWi30zt8LB,0,19,Items04,high,self,uneven,True,9.0,3,0,7,0,0,5,0,7,0,0,100.0,0.0,200.0,0.0,0,109,0,False,False,False,0,0,0,0,5,7,7,True,5,"3,2,2,2,2,3"
69qumWi30zt8LB,1,11,Items06,high,self,uneven,True,9.0,3,8,4,32,32,5,42,4,168,168,75.0,0.0,150.0,0.0,0,69,0,False,False,False,0,0,0,0,7,4,4,True,2,"4,4"
69qumWi30zt8LB,2,11,Items02,high,self,uneven,False,9.0,3,41,3,123,131,5,48,5,240,408,58.0,0.0,111.0,0.0,0,50,0,False,False,False,0,0,0,0,3,5,3,True,2,"5,3"
69qumWi30zt8LB,3,15,Items01,high,self,uneven,False,9.0,3,0,4,0,131,5,0,4,0,378,106.0,0.0,200.0,0.0,0,90,0,False,False,False,0,0,0,0,2,4,4,False,2,"4,4"
69qumWi30zt8LB,4,11,Items07,high,self,uneven,True,9.0,3,4,4,16,147,5,26,4,104,482,85.0,0.0,170.0,0.0,0,79,0,False,False,False,0,0,0,0,8,4,4,False,2,"4,4"
69qumWi30zt8LB,5,18,Items05,high,self,uneven,False,9.0,3,0,7,0,131,5,0,7,0,482,100.0,0.0,200.0,0.0,0,131,0,False,False,False,0,0,0,0,6,7,7,False,5,"3,2,2,2,2,3"
69qumWi30zt8LB,6,16,Items03,high,self,uneven,False,9.0,3,0,5,0,131,5,31,3,93,575,88.0,0.0,151.0,0.0,0,69,0,False,False,False,0,0,0,0,4,3,5,True,2,"3,5"
69qumWi30zt8LB,7,11,Items09,high,self,uneven,False,9.0,3,41,3,123,254,5,48,5,240,815,58.0,0.0,111.0,0.0,0,50,0,False,False,False,0,0,0,0,10,5,3,True,2,"3,5"
69qumWi30zt8LB,8,19,Items11,high,self,uneven,False,9.0,3,0,7,0,254,5,0,7,0,785,100.0,13.0,200.0,26.0,1,126,13,True,False,True,0,1,0,13,12,7,7,False,5,"3,2,2,2,2,3"
69qumWi30zt8LB,9,19,Items10,high,self,uneven,True,9.0,3,0,7,0,254,5,0,7,0,785,100.0,0.0,200.0,0.0,0,107,0,False,False,False,0,0,0,0,11,7,7,True,5,"3,2,2,2,2,3"
69qumWi30zt8LB,10,13,Items08,high,self,uneven,True,9.0,3,4,5,20,274,5,36,3,108,893,85.0,0.0,160.0,0.0,0,69,0,False,False,False,0,0,0,0,9,3,5,True,2,"5,3"
69qumWi30zt8LB,11,11,Items00,high,self,uneven,True,9.0,3,4,4,16,270,5,42,4,168,1061,77.0,0.0,154.0,0.0,0,71,0,False,False,False,0,0,0,0,1,4,4,True,2,"4,4"
69w4WM83iWOtRA,0,9,Items07,low,full,even,True,15.0,4,62,4,248,248,4,63,4,252,252,75.0,0.0,75.0,0.0,0,72,0,False,False,False,0,0,0,0,8,4,4,False,2,"4,4"
69w4WM83iWOtRA,1,12,Items01,low,full,even,False,15.0,4,49,4,196,432,4,61,4,244,496,90.0,0.0,90.0,0.0,0,79,0,False,False,False,0,0,0,0,2,4,4,False,2,"4,4"
69w4WM83iWOtRA,2,9,Items00,low,full,even,False,15.0,4,71,4,284,704,4,74,4,296,792,55.0,0.0,55.0,0.0,0,52,0,False,False,False,0,0,0,0,1,4,4,True,2,"4,4"
69w4WM83iWOtRA,3,19,Items05,low,full,even,False,15.0,4,26,7,182,886,4,31,7,217,997,143.0,0.0,143.0,0.0,0,124,0,False,False,False,0,0,0,0,6,7,7,False,5,"3,2,2,2,2,3"
69w4WM83iWOtRA,4,12,Items02,low,full,even,True,15.0,4,68,3,204,1090,4,52,5,260,1236,80.0,0.0,80.0,0.0,0,67,0,False,False,False,0,0,0,0,3,5,3,True,2,"5,3"
69w4WM83iWOtRA,5,17,Items11,low,full,even,False,15.0,4,27,7,189,1279,4,38,7,266,1487,135.0,0.0,135.0,0.0,0,126,0,False,False,False,0,0,0,0,12,7,7,False,5,"3,2,2,2,2,3"
69w4WM83iWOtRA,6,13,Items08,low,full,even,True,15.0,4,52,5,260,1539,4,63,3,189,1655,85.0,0.0,85.0,0.0,0,69,0,False,False,False,0,0,0,0,9,3,5,True,2,"5,3"
69w4WM83iWOtRA,7,9,Items06,low,full,even,True,15.0,4,74,4,296,1820,4,71,4,284,1939,55.0,0.0,55.0,0.0,0,52,0,False,False,False,0,0,0,0,7,4,4,True,2,"4,4"
69w4WM83iWOtRA,8,13,Items03,low,full,even,True,15.0,4,50,5,250,2058,4,63,3,189,2128,87.0,0.0,87.0,0.0,0,71,0,False,False,False,0,0,0,0,4,3,5,True,2,"3,5"
69w4WM83iWOtRA,9,13,Items09,low,full,even,False,15.0,4,63,3,189,2232,4,52,5,260,2388,85.0,0.0,85.0,0.0,0,69,0,False,False,False,0,0,0,0,10,5,3,True,2,"3,5"
69w4WM83iWOtRA,10,17,Items10,low,full,even,False,15.0,4,45,7,315,2547,4,48,7,336,2709,107.0,0.0,107.0,0.0,0,96,0,False,False,False,0,0,0,0,11,7,7,True,5,"3,2,2,2,2,3"
69w4WM83iWOtRA,11,17,Items04,low,full,even,True,15.0,4,48,7,336,2883,4,45,7,315,3003,107.0,0.0,107.0,0.0,0,98,0,False,False,False,0,0,0,0,5,7,7,True,5,"3,2,2,2,2,3"
8lJhZWe3AcL1vB,0,10,Items08,low,full,even,True,2.0,4,71,5,355,355,4,54,3,162,162,75.0,6.0,75.0,6.0,1,69,6,True,False,True,0,1,0,6,9,3,5,True,2,"5,3"
8lJhZWe3AcL1vB,1,17,Items11,low,full,even,False,2.0,4,29,7,203,558,4,32,7,224,377,139.0,0.0,139.0,0.0,0,130,0,False,False,False,0,0,0,0,12,7,7,False,5,"3,2,2,2,2,3"
8lJhZWe3AcL1vB,2,9,Items01,low,full,even,False,2.0,4,63,4,252,810,4,62,4,248,604,75.0,0.0,75.0,0.0,0,72,0,False,False,False,0,0,0,0,2,4,4,False,2,"4,4"
8lJhZWe3AcL1vB,3,10,Items09,low,full,even,False,2.0,4,56,3,168,978,4,71,5,355,947,73.0,7.0,73.0,7.0,1,67,7,True,True,False,1,0,7,0,10,5,3,True,2,"3,5"
8lJhZWe3AcL1vB,4,17,Items10,low,full,even,False,2.0,4,45,7,315,1284,4,34,7,238,1185,121.0,0.0,121.0,0.0,0,112,0,False,False,False,0,0,0,0,11,7,7,True,5,"3,2,2,2,2,3"
8lJhZWe3AcL1vB,5,9,Items00,low,full,even,False,2.0,4,71,4,284,1568,4,74,4,296,1460,55.0,0.0,55.0,0.0,0,52,0,False,False,False,0,0,0,0,1,4,4,True,2,"4,4"
8lJhZWe3AcL1vB,6,17,Items05,low,full,even,False,2.0,4,35,7,245,1813,4,34,7,238,1686,131.0,0.0,131.0,0.0,0,120,0,False,False,False,0,0,0,0,6,7,7,False,5,"3,2,2,2,2,3"
8lJhZWe3AcL1vB,7,9,Items02,low,full,even,False,2.0,4,65,3,195,2008,4,74,5,370,2035,61.0,10.0,61.0,10.0,1,58,10,True,True,False,1,0,10,0,3,5,3,True,2,"5,3"
8lJhZWe3AcL1vB,8,9,Items03,low,full,even,True,2.0,4,76,5,380,2388,4,59,3,177,2197,65.0,11.0,65.0,11.0,1,62,11,True,False,True,0,1,0,11,4,3,5,True,2,"3,5"
8lJhZWe3AcL1vB,9,9,Items07,low,full,even,False,2.0,4,61,4,244,2617,4,66,4,264,2461,73.0,0.0,73.0,0.0,0,70,0,False,False,False,0,0,0,0,8,4,4,False,2,"4,4"
8lJhZWe3AcL1vB,10,18,Items04,low,full,even,False,2.0,4,43,7,301,2918,4,45,7,315,2764,99.0,0.0,99.0,0.0,0,96,0,False,False,False,0,0,0,0,5,7,7,True,5,"3,2,2,2,2,3"
8lJhZWe3AcL1vB,11,9,Items06,low,full,even,False,2.0,4,71,4,284,3181,4,74,4,296,3060,55.0,0.0,55.0,0.0,0,52,0,False,False,False,0,0,0,0,7,4,4,True,2,"4,4"
8vpplWa1LA4tuJ,0,20,Items10,low,self,uneven,False,11.0,3,0,7,0,0,5,45,7,315,315,150.0,0.0,150.0,0.0,0,141,0,False,False,False,0,0,0,0,11,7,7,True,5,"3,2,2,2,2,3"
8vpplWa1LA4tuJ,1,11,Items00,low,self,uneven,True,11.0,3,52,4,208,208,5,71,4,284,599,77.0,0.0,77.0,0.0,0,71,0,False,False,False,0,0,0,0,1,4,4,True,2,"4,4"
8vpplWa1LA4tuJ,2,10,Items02,low,self,uneven,True,11.0,3,73,3,219,415,5,74,5,370,969,53.0,0.0,53.0,0.0,0,50,0,False,False,False,0,0,0,0,3,5,3,True,2,"5,3"
8vpplWa1LA4tuJ,3,13,Items07,low,self,uneven,True,11.0,3,37,4,148,563,5,58,4,232,1186,105.0,0.0,105.0,0.0,0,89,0,False,False,False,0,0,0,0,8,4,4,False,2,"4,4"
8vpplWa1LA4tuJ,4,27,Items11,low,self,uneven,False,11.0,3,10,7,70,621,5,0,7,0,1186,190.0,15.0,190.0,15.0,1,149,15,True,False,True,0,1,0,15,12,7,7,False,5,"3,2,2,2,2,3"
8vpplWa1LA4tuJ,5,10,Items09,low,self,uneven,True,11.0,3,73,3,219,840,5,74,5,370,1556,53.0,0.0,53.0,0.0,0,50,0,False,False,False,0,0,0,0,10,5,3,True,2,"3,5"
8vpplWa1LA4tuJ,6,12,Items03,low,self,uneven,False,11.0,3,52,5,260,1100,5,68,3,204,1745,80.0,0.0,80.0,0.0,0,69,0,False,False,False,0,0,0,0,4,3,5,True,2,"3,5"
8vpplWa1LA4tuJ,7,11,Items08,low,self,uneven,False,11.0,3,68,5,340,1425,5,66,3,198,1943,66.0,12.0,66.0,12.0,2,58,12,True,False,True,0,2,0,12,9,3,5,True,2,"5,3"
8vpplWa1LA4tuJ,8,18,Items04,low,self,uneven,False,11.0,3,24,7,168,1593,5,45,7,315,2249,120.0,0.0,120.0,0.0,0,119,0,False,False,False,0,0,0,0,5,7,7,True,5,"3,2,2,2,2,3"
8vpplWa1LA4tuJ,9,19,Items05,low,self,uneven,False,11.0,3,32,7,224,1796,5,34,7,238,2487,134.0,2.0,134.0,2.0,1,120,2,True,False,True,0,1,0,2,6,7,7,False,5,"3,2,2,2,2,3"
8vpplWa1LA4tuJ,10,11,Items01,low,self,uneven,False,11.0,3,66,4,264,2060,5,62,4,248,2714,72.0,1.0,72.0,1.0,1,64,1,True,False,True,0,1,0,1,2,4,4,False,2,"4,4"
