session,subjid,gameNum,turnCount,agent,objectLayer,costCond,visibilityCond,resourceCond,redFirst,meFirst,counterbalance,ownBPsize,step_other_expense,step_expense,energy_expense,other_expense,energy,score,points,pointsCumulative,helping_event,steps,helpful_steps,helped,purpleHelped,redHelped,purpleHelpingEvents,redHelpingEvents,purpleHelpfulSteps,redHelpfulSteps,partner_helped_thisgame,partner_helpingevents_thisgame,partner_helpfulsteps_thisgame,player_helped_lastgame,partner_helped_lastgame,player_helpingevents_lastgame,partner_helpingevents_lastgame,player_helpfulsteps_lastgame,partner_helpfulsteps_lastgame,environment,nRedVeg,nPurpVeg,patchUniformity,nPatches,patchSize,nOwnVeg,nOtherVeg
4cKdZNL492Ie0V,4cKdZNL492Ie0Vpurple,8,10,purple,Items08,high,self,uneven,True,False,6.0,5,0.0,29.0,58.0,0.0,42,5,210,1001,0,26,0,False,False,True,0,1,0,6,True,1,6,True,True,2.0,1.0,10.0,1.0,9,3,5,True,2,"5,3",5,3
4cKdZNL492Ie0V,4cKdZNL492Ie0Vred,8,10,red,Items08,high,self,uneven,True,True,6.0,3,6.0,42.0,84.0,12.0,16,3,48,836,1,39,6,True,False,True,0,1,0,6,False,0,0,True,True,1.0,2.0,1.0,10.0,9,3,5,True,2,"5,3",3,5
4cKdZNL492Ie0V,4cKdZNL492Ie0Vpurple,9,18,purple,Items04,high,self,uneven,True,False,6.0,5,17.0,50.0,100.0,34.0,0,7,0,1001,4,57,17,True,True,True,4,4,17,26,True,4,26,False,True,0.0,1.0,0.0,6.0,5,7,7,True,5,"3,2,2,2,2,3",7,7
4cKdZNL492Ie0V,4cKdZNL492Ie0Vred,9,18,red,Items04,high,self,uneven,True,True,6.0,3,13.0,50.0,100.0,26.0,0,7,0,818,4,78,26,True,True,True,4,4,17,26,True,4,17,True,False,1.0,0.0,6.0,0.0,5,7,7,True,5,"3,2,2,2,2,3",7,7
4cKdZNL492Ie0V,4cKdZNL492Ie0Vpurple,10,18,purple,Items10,high,self,uneven,False,True,6.0,5,18.0,50.0,100.0,36.0,0,7,0,1001,4,57,19,True,True,True,4,3,19,12,True,3,12,True,True,4.0,4.0,17.0,26.0,11,7,7,True,5,"3,2,2,2,2,3",7,7
4cKdZNL492Ie0V,4cKdZNL492Ie0Vred,10,18,red,Items10,high,self,uneven,False,False,6.0,3,12.0,50.0,100.0,24.0,0,7,0,818,3,47,12,True,True,True,4,3,19,12,True,4,19,True,True,4.0,4.0,26.0,17.0,11,7,7,True,5,"3,2,2,2,2,3",7,7
4cKdZNL492Ie0V,4cKdZNL492Ie0Vpurple,11,10,purple,Items02,high,self,uneven,True,False,6.0,5,16.0,29.0,58.0,32.0,42,3,126,1127,4,26,16,True,True,True,4,3,16,13,True,3,13,True,True,4.0,3.0,19.0,12.0,3,5,3,True,2,"5,3",3,5
4cKdZNL492Ie0V,4cKdZNL492Ie0Vred,11,10,red,Items02,high,self,uneven,True,True,6.0,3,13.0,42.0,84.0,26.0,16,5,80,898,3,39,13,True,True,True,4,3,16,13,True,4,16,True,True,3.0,4.0,12.0,19.0,3,5,3,True,2,"5,3",5,3
4jqu3Fu3bRJBW3,4jqu3Fu3bRJBW3purple,0,19,purple,Items05,low,self,uneven,True,False,14.0,3,0.0,94.0,94.0,0.0,6,7,42,42,0,88,0,False,False,False,0,0,0,0,False,0,0,,,,,,,6,7,7,False,5,"3,2,2,2,2,3",7,7
4jqu3Fu3bRJBW3,4jqu3Fu3bRJBW3red,0,19,red,Items05,low,self,uneven,True,True,14.0,5,0.0,69.0,69.0,0.0,31,7,217,217,0,63,0,False,False,False,0,0,0,0,False,0,0,,,,,,,6,7,7,False,5,"3,2,2,2,2,3",7,7
